_id;Damage;Hostplant Family;Hostplant Genus;Hostplant Species;Hostplant Subspecies/var;HOSTS ID;Insect Author;Insect Family;Insect Genus;Insect Species;Insect Subspecies;Lab Rearing;Location
40135;;Moraceae;Morus;;;4600;Moore;Bombycidae;Bombyx;mandarina;;;Old World
40137;;Moraceae;Morus;;;4602;Linnaeus;Bombycidae;Bombyx;mori;;;West Malaysia
40142;on leaves;Moraceae;Morus;alba;;4607;Linnaeus;Bombycidae;Bombyx;mori;;;India
40136;;Moraceae;Morus;;;4601;Linnaeus;Bombycidae;Bombyx;mori;;;Cosmopolitan
40140;;Moraceae;Morus;nigra;;4605;Linnaeus;Bombycidae;Bombyx;mori;;;India
40139;;Moraceae;Morus;alba;;4604;Linnaeus;Bombycidae;Bombyx;mori;;;Hong Kong
40141;on leaves;Rubiaceae;Morinda;citrifolia;;4606;Linnaeus;Bombycidae;Bombyx;mori;;;India
40143;on leaves;Moraceae;Morus;alba;;4608;Linnaeus;Bombycidae;Bombyx;mori;;;Thailand
40138;;Moraceae;Morus;alba;;4603;Linnaeus;Bombycidae;Bombyx;mori;;;Brazil
5308;;Malvaceae;Abelmoschus;esculentus;;12033;Saunders;Gelechiidae;Pectinophora;gossypiella;;;Puerto Rico
5312;;Malvaceae;Abutilon;megapotamicum;;12037;Saunders;Gelechiidae;Pectinophora;gossypiella;;;Brazil
5317;;Celastraceae;Cassine;;;12042;Saunders;Gelechiidae;Pectinophora;gossypiella;;;East Africa
5327;;Malvaceae;Gossypium;;;12052;Saunders;Gelechiidae;Pectinophora;gossypiella;;;Nearctic
5332;;Malvaceae;Gossypium;arboreum;;12057;Saunders;Gelechiidae;Pectinophora;gossypiella;;;Fiji
5335;;Malvaceae;Gossypium;hirsutum;;12060;Saunders;Gelechiidae;Pectinophora;gossypiella;;;Puerto Rico
5341;;Malvaceae;Hibiscus;;;12066;Saunders;Gelechiidae;Pectinophora;gossypiella;;;Australia
5342;;Malvaceae;Hibiscus;;;12067;Saunders;Gelechiidae;Pectinophora;gossypiella;;;Cosmopolitan
5349;;Malvaceae;Hibiscus;rosa-sinensis;;12074;Saunders;Gelechiidae;Pectinophora;gossypiella;;;Hawaii
5355;;Malvaceae;Thespesia;lampas;;12080;Saunders;Gelechiidae;Pectinophora;gossypiella;;;Nearctic
5359;in bolls;Malvaceae;Gossypium;herbaceum;;12084;Saunders;Gelechiidae;Pectinophora;gossypiella;;;Thailand
5360;in bolls/buds/flowers/seeds;Malvaceae;Gossypium;;;12085;Saunders;Gelechiidae;Pectinophora;gossypiella;;;India
5361;in bolls/lint;Malvaceae;Gossypium;;;12086;Saunders;Gelechiidae;Pectinophora;gossypiella;;;Southern Africa
5364;in fruits;Malvaceae;Hibiscus;;;12089;Saunders;Gelechiidae;Pectinophora;gossypiella;;;South-East Asia
5368;on bolls/buds/seeds;Malvaceae;Gossypium;;;12093;Saunders;Gelechiidae;Pectinophora;gossypiella;;;Sri Lanka
5372;on buds/seeds;Malvaceae;Gossypium;;;12097;Saunders;Gelechiidae;Pectinophora;gossypiella;;;India
5375;on seeds;Malvaceae;Gossypium;;;12100;Saunders;Gelechiidae;Pectinophora;gossypiella;;;India
5304;;Malvaceae;;;;12029;Saunders;Gelechiidae;Pectinophora;gossypiella;;;Cosmopolitan
5306;;Malvaceae;Abelmoschus;esculentus;;12031;Saunders;Gelechiidae;Pectinophora;gossypiella;;;East Africa
5311;;Malvaceae;Abutilon;;;12036;Saunders;Gelechiidae;Pectinophora;gossypiella;;;Nearctic
5314;;Malvaceae;Abutilon;tiubae;;12039;Saunders;Gelechiidae;Pectinophora;gossypiella;;;Brazil
